Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2026-01-17 04:00:00+00:00,3290.92041015625,3290.92041015625,3284.955322265625,3288.68310546875,0
2026-01-17 05:00:00+00:00,3289.986083984375,3292.33154296875,3288.5087890625,3290.681640625,0
2026-01-17 06:00:00+00:00,3289.614501953125,3290.669189453125,3286.258544921875,3290.0859375,0
2026-01-17 07:00:00+00:00,3289.87158203125,3290.82568359375,3286.431884765625,3289.68408203125,0
2026-01-17 08:00:00+00:00,3294.62744140625,3294.715576171875,3288.67333984375,3289.6943359375,0
2026-01-17 09:00:00+00:00,3297.7060546875,3300.068603515625,3292.40283203125,3294.582763671875,73195520
2026-01-17 10:00:00+00:00,3294.93798828125,3298.931396484375,3294.23388671875,3297.56005859375,0
2026-01-17 11:00:00+00:00,3301.244873046875,3302.272705078125,3293.676025390625,3294.8291015625,0
2026-01-17 12:00:00+00:00,3301.46826171875,3303.46044921875,3299.231201171875,3301.1865234375,0
2026-01-17 13:00:00+00:00,3302.428955078125,3302.8818359375,3298.374267578125,3301.41357421875,0
2026-01-17 14:00:00+00:00,3308.1611328125,3308.816162109375,3300.577392578125,3302.46240234375,0
2026-01-17 15:00:00+00:00,3325.5322265625,3327.2470703125,3308.277587890625,3309.530517578125,0
2026-01-17 16:00:00+00:00,3317.843505859375,3326.282958984375,3312.17236328125,3324.941162109375,0
2026-01-17 17:00:00+00:00,3317.80078125,3325.239013671875,3316.37744140625,3317.828369140625,0
2026-01-17 18:00:00+00:00,3317.02001953125,3319.185791015625,3314.6484375,3318.068603515625,0
2026-01-17 19:00:00+00:00,3315.2412109375,3319.2734375,3313.659912109375,3316.825927734375,0
2026-01-17 20:00:00+00:00,3316.8125,3318.012451171875,3313.99755859375,3315.330078125,0
2026-01-17 21:00:00+00:00,3310.85986328125,3316.38427734375,3308.5673828125,3316.38427734375,0
2026-01-17 22:00:00+00:00,3304.6875,3311.67138671875,3297.846435546875,3311.3798828125,0
2026-01-17 23:00:00+00:00,3308.698486328125,3308.698486328125,3301.16650390625,3301.16650390625,0
2026-01-18 00:00:00+00:00,3303.572265625,3312.75341796875,3302.236328125,3309.15966796875,0
2026-01-18 01:00:00+00:00,3299.79150390625,3304.9921875,3296.29150390625,3303.23779296875,5565440
2026-01-18 02:00:00+00:00,3302.015625,3304.00830078125,3296.135986328125,3299.6767578125,0
2026-01-18 03:00:00+00:00,3314.905517578125,3316.25244140625,3301.89892578125,3301.89892578125,79418368
2026-01-18 04:00:00+00:00,3310.89794921875,3316.183837890625,3309.15478515625,3313.778076171875,0
2026-01-18 05:00:00+00:00,3315.604736328125,3316.1923828125,3309.904541015625,3310.8193359375,84677632
2026-01-18 06:00:00+00:00,3313.763427734375,3316.004150390625,3310.818359375,3314.401611328125,108407808
2026-01-18 07:00:00+00:00,3306.2451171875,3314.027099609375,3305.496826171875,3314.027099609375,137193472
2026-01-18 08:00:00+00:00,3314.46923828125,3314.629638671875,3303.18212890625,3306.1513671875,60659712
2026-01-18 09:00:00+00:00,3322.822265625,3322.881591796875,3313.9580078125,3314.226806640625,192417792
2026-01-18 10:00:00+00:00,3324.519775390625,3324.519775390625,3317.556640625,3322.118896484375,229490688
2026-01-18 11:00:00+00:00,3320.80029296875,3324.34033203125,3318.174560546875,3324.34033203125,0
2026-01-18 12:00:00+00:00,3320.937744140625,3324.43212890625,3317.9560546875,3320.85888671875,64934912
2026-01-18 13:00:00+00:00,3324.561767578125,3327.71875,3313.777587890625,3321.36328125,308587520
2026-01-18 14:00:00+00:00,3322.612060546875,3341.473388671875,3322.612060546875,3324.882568359375,624224256
2026-01-18 15:00:00+00:00,3332.771240234375,3333.989013671875,3320.372314453125,3323.817626953125,0
2026-01-18 16:00:00+00:00,3334.073974609375,3336.35205078125,3329.492919921875,3332.6591796875,0
2026-01-18 17:00:00+00:00,3336.844482421875,3336.876708984375,3332.71337890625,3333.454345703125,0
2026-01-18 18:00:00+00:00,3362.475830078125,3366.622314453125,3338.34326171875,3343.690673828125,686107648
2026-01-18 19:00:00+00:00,3344.921630859375,3363.3798828125,3344.672119140625,3360.56982421875,321294336
2026-01-18 20:00:00+00:00,3339.60107421875,3350.87109375,3339.046875,3345.279296875,193688576
2026-01-18 21:00:00+00:00,3340.423583984375,3343.877197265625,3336.228759765625,3339.988525390625,0
2026-01-18 22:00:00+00:00,3348.71044921875,3352.918212890625,3339.48681640625,3340.365966796875,0
2026-01-18 23:00:00+00:00,3280.012939453125,3347.87548828125,3280.012939453125,3347.174072265625,1788262400
2026-01-19 00:00:00+00:00,3211.415283203125,3282.393798828125,3183.329833984375,3282.393798828125,5645550592
2026-01-19 01:00:00+00:00,3204.53515625,3218.7578125,3195.149658203125,3211.9990234375,1414035456
2026-01-19 02:00:00+00:00,3204.02197265625,3213.53662109375,3195.7509765625,3205.262451171875,1013037056
2026-01-19 03:00:00+00:00,3210.94677734375,3211.389404296875,3197.70068359375,3203.842041015625,606130176
2026-01-19 04:00:00+00:00,3212.194580078125,3215.2255859375,3204.738525390625,3210.911376953125,1067241472
2026-01-19 05:00:00+00:00,3202.26708984375,3213.300537109375,3196.078857421875,3211.478759765625,1140844544
2026-01-19 06:00:00+00:00,3192.9228515625,3202.788330078125,3189.789306640625,3202.014404296875,668733440
2026-01-19 07:00:00+00:00,3206.5185546875,3207.04736328125,3194.010986328125,3194.010986328125,346142720
2026-01-19 08:00:00+00:00,3214.297119140625,3218.822021484375,3197.561767578125,3206.067138671875,776771584
2026-01-19 09:00:00+00:00,3207.26123046875,3213.151123046875,3205.622314453125,3213.151123046875,0
2026-01-19 10:00:00+00:00,3213.175537109375,3213.950927734375,3204.654052734375,3207.283203125,0
2026-01-19 11:00:00+00:00,3222.0322265625,3228.09130859375,3212.001220703125,3213.308837890625,1493448704
2026-01-19 12:00:00+00:00,3222.927001953125,3232.4033203125,3218.88427734375,3222.147216796875,1116135424
2026-01-19 13:00:00+00:00,3216.822509765625,3223.268310546875,3212.883056640625,3223.268310546875,19726336
2026-01-19 14:00:00+00:00,3211.11962890625,3216.982177734375,3206.414306640625,3216.735107421875,0
2026-01-19 15:00:00+00:00,3215.538330078125,3218.689453125,3209.781982421875,3211.35302734375,124715008
2026-01-19 16:00:00+00:00,3222.271484375,3223.208984375,3212.16748046875,3214.530517578125,216371200
2026-01-19 17:00:00+00:00,3218.1884765625,3223.737548828125,3216.427001953125,3222.0576171875,106901504
2026-01-19 18:00:00+00:00,3213.193115234375,3219.422119140625,3207.635498046875,3218.409423828125,0
2026-01-19 19:00:00+00:00,3218.0546875,3222.380126953125,3212.998046875,3212.998046875,0
2026-01-19 20:00:00+00:00,3214.4091796875,3222.42333984375,3211.742431640625,3217.97021484375,118020096
2026-01-19 21:00:00+00:00,3211.867919921875,3218.1728515625,3210.264892578125,3213.37255859375,96790528
2026-01-19 22:00:00+00:00,3190.940673828125,3212.387451171875,3190.940673828125,3211.4228515625,281165824
2026-01-19 23:00:00+00:00,3185.94482421875,3193.308837890625,3166.9091796875,3186.592529296875,0
2026-01-20 00:00:00+00:00,3181.721923828125,3197.004638671875,3175.085693359375,3186.9599609375,0
2026-01-20 01:00:00+00:00,3193.341552734375,3195.71875,3175.94189453125,3182.39501953125,0
2026-01-20 02:00:00+00:00,3190.671142578125,3196.1552734375,3178.899658203125,3191.055419921875,0
2026-01-20 03:00:00+00:00,3185.32421875,3191.0048828125,3182.6181640625,3191.0048828125,0
2026-01-20 04:00:00+00:00,3169.426025390625,3186.506591796875,3168.8515625,3185.823974609375,0
2026-01-20 05:00:00+00:00,3170.16748046875,3171.74169921875,3153.760009765625,3169.916259765625,60389376
2026-01-20 06:00:00+00:00,3111.99267578125,3168.8896484375,3109.28369140625,3168.8896484375,795770880
2026-01-20 07:00:00+00:00,3121.391357421875,3126.979736328125,3112.261962890625,3113.439208984375,887666688
2026-01-20 08:00:00+00:00,3101.747802734375,3121.374267578125,3085.685791015625,3121.374267578125,580231168
2026-01-20 09:00:00+00:00,3090.81298828125,3103.3623046875,3087.76611328125,3103.3623046875,678162432
2026-01-20 10:00:00+00:00,3100.61279296875,3104.60595703125,3087.97802734375,3090.712646484375,290129920
2026-01-20 11:00:00+00:00,3107.2080078125,3109.629638671875,3100.157470703125,3100.157470703125,0
2026-01-20 12:00:00+00:00,3108.41650390625,3110.831787109375,3100.29248046875,3106.594970703125,0
2026-01-20 13:00:00+00:00,3076.6298828125,3109.10546875,3075.242919921875,3108.641845703125,585129984
2026-01-20 14:00:00+00:00,3046.293212890625,3085.21533203125,3038.634765625,3076.353271484375,2256209920
2026-01-20 15:00:00+00:00,3024.935302734375,3046.04248046875,2998.335205078125,3044.842041015625,2698803200
2026-01-20 16:00:00+00:00,3006.839111328125,3035.4677734375,2998.384765625,3029.68359375,1085202432
2026-01-20 17:00:00+00:00,2997.13623046875,3018.1162109375,2984.223388671875,3006.336669921875,831488000
2026-01-20 18:00:00+00:00,2989.925537109375,3003.94482421875,2987.380126953125,2997.332763671875,678158336
2026-01-20 19:00:00+00:00,2991.9599609375,2997.97265625,2980.40966796875,2989.702392578125,965386240
2026-01-20 20:00:00+00:00,2996.720703125,3000.656005859375,2982.5908203125,2992.3818359375,435603456
2026-01-20 21:00:00+00:00,2990.805908203125,3001.830078125,2986.6728515625,3001.27587890625,330287104
2026-01-20 22:00:00+00:00,2946.0234375,2993.60888671875,2932.468994140625,2990.792724609375,1175828480
2026-01-20 23:00:00+00:00,2936.596923828125,2948.60791015625,2929.947998046875,2946.468017578125,80873472
2026-01-21 00:00:00+00:00,2958.314208984375,2964.739501953125,2921.62841796875,2936.23193359375,627355648
2026-01-21 01:00:00+00:00,2962.586181640625,2969.475830078125,2952.949462890625,2956.637939453125,275226624
2026-01-21 02:00:00+00:00,2958.6953125,2970.264892578125,2955.110595703125,2961.79150390625,78688256
2026-01-21 03:00:00+00:00,2977.99609375,2979.224365234375,2958.001708984375,2958.001708984375,222902272
2026-01-21 04:00:00+00:00,2977.78173828125,2981.18994140625,2972.3759765625,2977.99609375,32417792
2026-01-21 05:00:00+00:00,2988.97265625,2997.038818359375,2974.7890625,2976.735107421875,0
2026-01-21 06:00:00+00:00,2975.861572265625,2990.097412109375,2973.2998046875,2989.97900390625,0
2026-01-21 07:00:00+00:00,2965.843994140625,2981.68798828125,2963.857666015625,2976.939453125,0
2026-01-21 08:00:00+00:00,2962.2548828125,2970.13232421875,2954.8583984375,2967.681396484375,0
2026-01-21 09:00:00+00:00,2948.666259765625,2970.813232421875,2948.666259765625,2962.036376953125,0
2026-01-21 10:00:00+00:00,2961.5146484375,2966.224609375,2950.372802734375,2950.542236328125,0
2026-01-21 11:00:00+00:00,2940.113525390625,2967.529296875,2940.113525390625,2961.06787109375,0
2026-01-21 12:00:00+00:00,2927.639892578125,2941.706787109375,2902.169921875,2940.58837890625,3056087040
2026-01-21 13:00:00+00:00,2929.366943359375,2941.682861328125,2919.31884765625,2928.130126953125,0
2026-01-21 14:00:00+00:00,2983.14892578125,2988.3828125,2922.16845703125,2927.20703125,904409088
2026-01-21 15:00:00+00:00,3001.427490234375,3018.67431640625,2975.773681640625,2978.689453125,0
2026-01-21 16:00:00+00:00,2896.14599609375,3000.5361328125,2887.6201171875,2999.651611328125,227160064
2026-01-21 17:00:00+00:00,2901.942138671875,2907.908203125,2867.264404296875,2889.84375,2175123456
2026-01-21 18:00:00+00:00,2925.15673828125,2928.841796875,2888.333251953125,2901.609130859375,182020096
2026-01-21 19:00:00+00:00,3054.079833984375,3063.312255859375,2915.209716796875,2924.443359375,2747316224
2026-01-21 20:00:00+00:00,3029.564208984375,3052.4228515625,3002.861083984375,3052.4228515625,1004654592
2026-01-21 21:00:00+00:00,3031.85546875,3038.01806640625,3021.364501953125,3027.966552734375,298991616
2026-01-21 22:00:00+00:00,3009.93896484375,3041.713134765625,3009.306396484375,3029.866943359375,0
2026-01-21 23:00:00+00:00,2978.6962890625,3020.150390625,2972.14306640625,3008.771728515625,0
2026-01-22 00:00:00+00:00,3002.58984375,3007.111572265625,2979.63525390625,2979.63525390625,0
2026-01-22 01:00:00+00:00,3026.40576171875,3027.7177734375,3001.745849609375,3002.677734375,0
2026-01-22 02:00:00+00:00,3015.783203125,3034.338134765625,3013.79052734375,3025.89306640625,0
2026-01-22 03:00:00+00:00,3011.087158203125,3026.958740234375,3001.01513671875,3015.4697265625,642619392
2026-01-22 04:00:00+00:00,3021.137451171875,3021.137451171875,3008.999755859375,3010.37451171875,0
2026-01-22 05:00:00+00:00,3013.295166015625,3022.951416015625,3012.404296875,3020.3173828125,0
2026-01-22 06:00:00+00:00,3017.115478515625,3023.0380859375,3007.193359375,3016.44384765625,381892608
2026-01-22 07:00:00+00:00,2998.20849609375,3017.842529296875,2998.20849609375,3016.191162109375,0
2026-01-22 08:00:00+00:00,3002.08642578125,3004.44921875,2991.32470703125,2998.224365234375,0
2026-01-22 09:00:00+00:00,3011.42333984375,3013.04736328125,3000.917724609375,3001.905029296875,634511360
2026-01-22 10:00:00+00:00,3001.306640625,3011.765380859375,2997.89501953125,3011.25439453125,202883072
2026-01-22 11:00:00+00:00,2983.9384765625,3003.2783203125,2977.3857421875,3001.130126953125,166379520
2026-01-22 12:00:00+00:00,2987.35205078125,2993.553955078125,2978.41943359375,2983.941162109375,0
2026-01-22 13:00:00+00:00,2968.935302734375,3003.057861328125,2962.659423828125,2989.048583984375,304683008
2026-01-22 14:00:00+00:00,2938.2578125,2977.87158203125,2936.975341796875,2969.985595703125,0
2026-01-22 15:00:00+00:00,2940.91845703125,2960.757080078125,2905.562744140625,2938.9638671875,0
2026-01-22 16:00:00+00:00,2942.6845703125,2952.752197265625,2925.73828125,2941.138916015625,0
2026-01-22 17:00:00+00:00,2957.593017578125,2957.678466796875,2933.797119140625,2943.70458984375,0
2026-01-22 18:00:00+00:00,2935.83203125,2965.281005859375,2935.83203125,2958.954345703125,0
2026-01-22 19:00:00+00:00,2951.595703125,2958.51953125,2930.2314453125,2936.43310546875,0
2026-01-22 20:00:00+00:00,2936.1787109375,2953.491455078125,2929.087158203125,2951.38671875,0
2026-01-22 21:00:00+00:00,2942.28564453125,2946.9970703125,2932.438232421875,2940.195068359375,0
2026-01-22 22:00:00+00:00,2948.1484375,2953.580078125,2942.049560546875,2942.615234375,0
2026-01-22 23:00:00+00:00,2949.58056640625,2953.049072265625,2938.5302734375,2946.0908203125,0
2026-01-23 00:00:00+00:00,2950.7861328125,2953.054443359375,2945.209228515625,2949.41748046875,0
2026-01-23 01:00:00+00:00,2964.78369140625,2965.197265625,2950.105224609375,2950.105224609375,0
2026-01-23 02:00:00+00:00,2951.331787109375,2966.02197265625,2951.21044921875,2966.02197265625,0
